Age,Income,Outage_sec_perweek,Contacts,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Age,Gender_Male,Gender_Nonbinary,Area_Suburban,Area_Urban,InternetService_Fiber Optic,InternetService_None,Phone_Yes,OnlineSecurity_Yes,DeviceProtection_Yes,StreamingMovies_Yes,OnlineBackup_Yes
21,8528.16,9.760727,1,2,18.81173,1956.709597,21,0,0,0,1,1,0,1,1,1,0,0
50,48154.12,16.63376919,1,0,1.723983897,888.9795791,50,1,0,0,1,0,0,1,0,0,1,0
58,147682.0,6.285394,1,1,9.741749,1626.329435,58,0,0,1,0,0,0,1,0,1,0,0
30,27497.85,6.905307,0,0,62.06064,5396.112945,30,1,0,1,0,1,0,1,1,0,0,0
45,46994.01,13.48181,2,1,65.62921,5389.491157,45,0,0,0,0,0,1,1,0,0,0,0
34,51855.3,7.875839,0,0,59.36326,5374.093177,34,0,0,0,1,0,1,1,0,1,1,1
76,22875.95,7.134899,0,0,66.21743,6013.898703,76,1,0,0,0,1,0,0,1,0,1,1
54,32410.95,11.66727,0,0,60.36923,5532.984193,54,0,0,0,0,1,0,1,0,1,1,0
64,17172.32,10.209012,3,1,7.98560378,1367.4247,64,1,0,0,0,0,0,1,0,0,0,0
76,62190.11,12.13147,1,0,5.802984,1163.473611,76,1,0,0,1,0,0,1,0,1,0,1
44,61478.9,13.91858,0,1,28.22989,3068.956506,44,1,0,0,0,0,0,1,0,1,1,0
82,16776.51,10.40646,0,0,70.86194,6236.37892,82,1,0,1,0,0,1,1,0,0,1,0
27,32014.25,4.649681,1,0,9.836216,1700.500703,27,0,0,0,1,0,0,1,0,1,0,1
57,7012.42,3.806443,1,0,39.95689,3635.733881,57,1,0,0,0,1,0,1,1,0,1,0
34,20283.95,14.4845473,1,2,4.304076015,1071.920592,34,0,1,0,1,0,0,1,1,0,0,1
58,18081.89,6.87882,1,0,61.35337,5255.178769,58,0,0,0,0,0,1,1,1,1,0,1
24,59226.92,7.048179,0,1,59.28333,5634.80523,24,0,0,0,0,1,0,1,1,1,0,1
66,36172.9,10.06837,2,0,66.16845,6376.639792,66,1,0,0,0,0,0,1,0,0,1,1
82,56646.45,8.933365,0,2,14.67731,1599.244733,82,1,0,0,1,0,1,1,1,1,0,0
87,9302.37,9.578665,2,1,15.12639,2025.467869,87,1,0,0,0,0,0,1,0,1,0,1
43,37952.49,2.870798009,0,0,13.76430574,2172.681118,43,0,0,0,0,0,0,1,0,0,1,1
55,22810.25,10.42801,0,1,46.75485,3840.965627,55,0,0,0,1,1,0,1,0,0,0,0
46,36435.66,11.71392,1,0,65.70769,6091.064644,46,0,0,0,0,1,0,1,1,0,1,1
38,92352.67,7.82306,2,1,61.18403,5502.689262,38,0,0,0,1,1,0,1,1,1,0,1
75,31822.26,12.42338,0,0,64.81364,5571.868167,75,0,0,1,0,1,0,1,0,1,1,0
63,19384.87,11.31459,1,0,20.86192,1943.299733,63,0,0,0,1,1,0,1,0,1,0,0
67,9724.88,13.38666,1,1,63.00932,5910.092809,67,1,0,0,1,0,0,1,0,1,0,0
36,31962.04,11.60075,2,1,60.16674,5510.855205,36,1,0,1,0,1,0,1,0,0,1,0
78,41305.01,10.98554,1,0,9.026366,1146.502548,78,0,0,0,0,0,1,1,0,1,1,1
49,49750.1,13.78711309,2,0,9.373705128,1039.67302,49,1,0,0,0,1,0,1,0,0,1,0
60,42784.82,6.129509309,0,0,23.92132231,2676.789803,60,0,0,0,1,0,1,1,1,0,1,1
34,42532.49,7.107692,0,2,71.27541,6370.865009,34,1,0,1,0,0,1,1,0,1,1,1
39,18107.56,12.86633,0,1,5.876252,693.7341041,39,1,0,0,1,0,1,1,0,0,0,1
64,36887.34,11.78195,2,0,1.75453,713.7053321,64,1,0,0,1,1,0,1,0,1,1,0
46,25126.23,14.66578819,0,0,5.414586898,1009.567691,46,0,0,1,0,0,1,1,1,1,0,1
70,19090.03,4.575363954,0,0,23.103996,2522.88913,70,1,0,1,0,1,0,1,1,1,1,0
33,49464.15,6.32828,1,0,64.59012,6073.965344,33,0,0,0,1,0,0,1,0,1,1,0
48,2353.79,7.814343,0,0,59.12149,5494.3717,48,0,0,0,1,0,1,1,0,0,1,1
24,88325.38,11.11017,1,1,71.54844,6436.529978,24,0,0,1,0,1,0,1,1,0,1,1
67,23180.99,7.540516,1,1,57.43857,5327.251383,67,1,0,0,0,1,0,1,1,1,1,1
86,40728.96,5.670110512,2,0,4.950398978,775.5613336,86,0,0,0,1,1,0,1,0,0,1,0
46,27400.85,3.21461,0,0,48.98746,4786.931622,46,0,0,0,0,0,0,1,1,1,1,0
29,59802.63,12.50338,3,0,70.20428,6805.77977,29,1,0,0,1,0,0,1,1,0,1,1
39,64799.95,10.57648,2,0,67.39149,6182.666346,39,1,0,0,0,0,1,1,0,0,1,1
48,13948.3,15.89345,0,0,57.25068,4941.36404,48,1,0,1,0,0,1,1,0,0,0,1
67,24088.27,9.411341,0,0,69.24438,6024.530188,67,0,0,0,1,1,0,1,1,1,0,0
55,40877.0,9.082762,2,1,18.61815,2064.732863,55,0,0,0,0,1,0,1,0,0,1,0
66,25100.17,8.07133879,1,1,29.8284414,3113.451696,66,1,0,0,0,1,0,1,1,1,1,0
79,33028.84,4.93801,1,2,70.36489,6602.646284,79,1,0,0,0,0,0,1,0,1,0,0
49,5666.72,13.62609,1,0,43.51717,3812.770109,49,0,1,1,0,1,0,1,0,0,1,0
42,11668.78,8.723293,0,0,68.14328,5916.482428,42,0,0,1,0,0,1,1,1,0,1,0
35,194550.7,7.939605,1,0,60.64795,5591.655269,35,0,0,0,0,0,1,0,0,1,1,0
21,13673.66,3.629351785,2,0,11.24483017,1967.957184,21,0,0,1,0,0,0,1,0,1,1,0
32,44165.04,10.47355,2,0,48.49789,4557.472307,32,1,0,0,0,1,0,1,0,1,0,1
41,59737.6,11.64449,1,1,44.65571,4553.786746,41,1,0,0,1,0,0,1,0,1,1,1
39,4180.22,11.78679636,1,0,2.051069457,1040.034575,39,0,0,1,0,0,1,1,1,0,1,0
75,31136.77,10.70500472,1,0,11.96274778,1639.898269,75,0,0,1,0,0,0,1,1,0,0,0
78,14281.24,13.14435,1,0,50.09799,4582.182243,78,1,0,0,1,1,0,1,1,1,0,1
42,11319.45,7.60487,1,0,61.00345,5491.9286,42,0,0,0,1,1,0,1,0,1,0,1
69,55322.08,16.23771062,1,0,11.44196811,986.7489919,69,0,0,0,1,1,0,1,0,1,0,0
65,9612.82,9.329583,0,0,12.57563,1185.107111,65,0,0,0,0,1,0,1,0,1,0,0
57,21482.85,13.09285,0,0,16.6564,1770.955679,57,1,0,1,0,1,0,0,0,0,0,1
88,30836.33,7.908562,2,1,70.17136,5884.793295,88,1,0,0,0,1,0,1,0,1,0,0
34,9044.12,11.38978,3,1,51.79712,4663.249156,34,1,0,1,0,0,1,1,0,0,1,1
70,23622.45,6.335191,2,6,57.81554,5320.166858,70,1,0,0,1,0,0,1,0,1,0,0
43,12998.92,12.9088807,0,0,19.37622206,2418.099487,43,1,0,0,0,0,0,1,0,0,0,1
25,15611.4,8.117138,2,0,60.58684,5409.545415,25,1,0,0,1,0,1,1,0,0,0,1
38,33714.3,10.06634813,2,0,6.339408608,639.5093519,38,0,0,0,1,1,0,1,0,1,0,0
78,84969.58,6.541451,1,1,55.67612,4661.218675,78,0,0,0,0,0,1,1,1,1,0,0
76,16762.99,11.54198689,1,0,6.818705821,955.0181592,76,0,0,0,1,1,0,1,1,1,1,1
38,31308.75,11.14597,0,0,58.12362,5662.535202,38,1,0,0,1,0,0,1,1,0,0,0
60,48525.16,8.096814588,1,0,5.130341596,1404.974888,60,0,0,0,0,0,0,1,0,1,1,0
31,13085.77,7.435907,2,0,59.6499,6196.784339,31,1,0,0,1,0,0,1,1,0,1,1
86,16044.85,6.200468,0,0,65.67297,5761.616471,86,0,0,0,0,0,0,1,0,1,0,0
73,80224.0,12.51805,1,1,64.33211,5570.146365,73,1,0,0,0,0,1,1,1,0,1,0
50,21531.67,8.759984,0,0,69.07545,6385.746999,50,0,0,0,1,0,0,1,0,1,1,0
84,91355.72,17.41601,1,0,11.4264,1145.984358,84,0,0,1,0,1,0,1,0,0,1,1
88,30261.27,11.14141,1,1,3.443373,441.303964,88,0,0,0,1,1,0,1,0,0,0,0
48,32177.35,13.70607,0,1,57.20095,4966.136132,48,1,0,0,1,1,0,1,0,0,1,0
